Start: 115.193940, Duration: 0.424890, Confidence: 0.310000
Start: 115.618830, Duration: 0.424890, Confidence: 0.404000
Start: 116.043720, Duration: 0.426400, Confidence: 0.462000
Start: 116.470120, Duration: 0.429420, Confidence: 0.643000
Start: 116.899540, Duration: 0.429790, Confidence: 0.626000
Start: 117.329320, Duration: 0.428070, Confidence: 0.701000
Start: 117.757390, Duration: 0.426720, Confidence: 0.627000
Start: 118.184110, Duration: 0.427090, Confidence: 0.553000
Start: 118.611200, Duration: 0.426700, Confidence: 0.435000
Start: 119.037900, Duration: 0.425360, Confidence: 0.493000
Start: 119.463260, Duration: 0.424970, Confidence: 0.498000
Start: 119.888230, Duration: 0.423270, Confidence: 0.650000
Start: 120.311500, Duration: 0.422890, Confidence: 0.584000
Start: 120.734390, Duration: 0.421760, Confidence: 0.647000
Start: 121.156150, Duration: 0.419860, Confidence: 0.494000
Start: 121.576010, Duration: 0.423090, Confidence: 0.387000
Start: 121.999100, Duration: 0.423660, Confidence: 0.386000
Start: 122.422760, Duration: 0.421000, Confidence: 0.400000
Start: 122.843760, Duration: 0.421380, Confidence: 0.450000
Start: 123.265140, Duration: 0.421950, Confidence: 0.471000
Start: 123.687080, Duration: 0.427820, Confidence: 0.456000
Start: 124.114910, Duration: 0.436930, Confidence: 0.472000
Start: 124.551840, Duration: 0.441110, Confidence: 0.190000
Start: 124.992950, Duration: 0.447000, Confidence: 0.253000
Start: 125.439950, Duration: 0.451740, Confidence: 0.194000
Start: 125.891690, Duration: 0.450620, Confidence: 0.126000
Start: 126.342310, Duration: 0.448730, Confidence: 0.148000
Start: 126.791040, Duration: 0.443620, Confidence: 0.408000
Start: 127.234660, Duration: 0.436610, Confidence: 0.567000
Start: 127.671260, Duration: 0.431490, Confidence: 0.524000
Start: 128.102760, Duration: 0.425630, Confidence: 0.501000
Start: 128.528380, Duration: 0.422230, Confidence: 0.180000
Start: 128.950610, Duration: 0.422810, Confidence: 0.321000
Start: 129.373420, Duration: 0.426050, Confidence: 0.448000
Start: 129.799470, Duration: 0.428540, Confidence: 0.618000
Start: 130.228010, Duration: 0.430460, Confidence: 0.397000
Start: 130.658480, Duration: 0.429730, Confidence: 0.559000
Start: 131.088210, Duration: 0.427490, Confidence: 0.513000
Start: 131.515700, Duration: 0.427710, Confidence: 0.411000
Start: 131.943410, Duration: 0.426600, Confidence: 0.229000
Start: 132.370020, Duration: 0.423030, Confidence: 0.320000
Start: 132.793040, Duration: 0.424760, Confidence: 0.289000
Start: 133.217800, Duration: 0.428010, Confidence: 0.425000
Start: 133.645810, Duration: 0.426510, Confidence: 0.436000
Start: 134.072320, Duration: 0.426330, Confidence: 0.510000
Start: 134.498650, Duration: 0.427280, Confidence: 0.342000
Start: 134.925930, Duration: 0.426900, Confidence: 0.287000
Start: 135.352830, Duration: 0.425950, Confidence: 0.197000
Start: 135.778790, Duration: 0.422730, Confidence: 0.281000
Start: 136.201510, Duration: 0.416280, Confidence: 0.374000
Start: 136.617790, Duration: 0.416090, Confidence: 0.354000
Start: 137.033890, Duration: 0.421030, Confidence: 0.394000
Start: 137.454920, Duration: 0.420270, Confidence: 0.468000
Start: 137.875190, Duration: 0.421610, Confidence: 0.178000
Start: 138.296790, Duration: 0.423700, Confidence: 0.207000
Start: 138.720490, Duration: 0.422750, Confidence: 0.070000
Start: 139.143240, Duration: 0.425600, Confidence: 0.076000
Start: 139.568840, Duration: 0.426550, Confidence: 0.162000
Start: 139.995380, Duration: 0.423320, Confidence: 0.295000
Start: 140.418710, Duration: 0.425980, Confidence: 0.468000
Start: 140.844690, Duration: 0.427870, Confidence: 0.561000
Start: 141.272560, Duration: 0.429770, Confidence: 0.516000
Start: 141.702330, Duration: 0.432230, Confidence: 0.460000
Start: 142.134570, Duration: 0.430520, Confidence: 0.074000
Start: 142.565080, Duration: 0.431270, Confidence: 0.052000
Start: 142.996350, Duration: 0.430120, Confidence: 0.062000
Start: 143.426470, Duration: 0.425940, Confidence: 0.072000
Start: 143.852400, Duration: 0.425730, Confidence: 0.106000
Start: 144.278140, Duration: 0.426480, Confidence: 0.130000
Start: 144.704620, Duration: 0.426660, Confidence: 0.111000
Start: 145.131280, Duration: 0.427780, Confidence: 0.110000
Start: 145.559060, Duration: 0.426240, Confidence: 0.128000
Start: 145.985300, Duration: 0.426410, Confidence: 0.167000
Start: 146.411720, Duration: 0.425640, Confidence: 0.209000
